id_asn,ulasan_naratif
1,"Kinerja KH. sangat memuaskan, fantastis, dan patut dipuji. Dia adalah aset yang sangat berharga bagi tim."
1,"Kinerja KH. sangat memuaskan, fantastis, dan patut dipuji. Dia adalah aset yang sangat berharga bagi tim."
1,"Sangat disayangkan, inisiatif dari KH. sangat kurang. Kinerjanya di bawah standar dan tidak memuaskan."
2,"Kinerja Karen sangat memuaskan, fantastis, dan patut dipuji. Dia adalah aset yang sangat berharga bagi tim."
2,"Luar biasa, Karen selalu menunjukkan kinerja terbaik, sangat direkomendasikan untuk proyek penting selanjutnya."
2,"Sangat senang dengan kontribusi Karen. Selalu proaktif, dapat diandalkan, dan hasilnya selalu sempurna."
3,"Sangat disayangkan, inisiatif dari Sutan sangat kurang. Kinerjanya di bawah standar dan tidak memuaskan."
3,"Sutan adalah pribadi yang ceria, selalu kolaboratif dan solutif. Inovasinya membawa dampak yang sangat positif dan menguntungkan."
3,"Sangat senang dengan kontribusi Sutan. Selalu proaktif, dapat diandalkan, dan hasilnya selalu sempurna."
4,"Sangat senang dengan kontribusi Setya. Selalu proaktif, dapat diandalkan, dan hasilnya selalu sempurna."
4,"Sangat senang dengan kontribusi Setya. Selalu proaktif, dapat diandalkan, dan hasilnya selalu sempurna."
4,"Sangat disayangkan, inisiatif dari Setya sangat kurang. Kinerjanya di bawah standar dan tidak memuaskan."
5,Mahfud menunjukkan integritas luar biasa dan profesionalisme yang tinggi. Kinerjanya sangat hebat dan selalu melampaui ekspektasi.
5,Mahfud menunjukkan integritas luar biasa dan profesionalisme yang tinggi. Kinerjanya sangat hebat dan selalu melampaui ekspektasi.
5,"Kinerja Mahfud sangat memuaskan, fantastis, dan patut dipuji. Dia adalah aset yang sangat berharga bagi tim."
6,"Kinerja Maya sangat memuaskan, fantastis, dan patut dipuji. Dia adalah aset yang sangat berharga bagi tim."
6,"Luar biasa, Maya selalu menunjukkan kinerja terbaik, sangat direkomendasikan untuk proyek penting selanjutnya."
6,Maya sangat buruk dalam kolaborasi dan seringkali menciptakan suasana tidak nyaman. Ini masalah serius.
